INSERT ALL 
 INTO "PSE1"."Warenkorb" VALUES ('0', '1727') 
 INTO "PSE1"."Warenkorb" VALUES ('1976', '25') 
 INTO "PSE1"."Warenkorb" VALUES ('1977', '374') 
 INTO "PSE1"."Warenkorb" VALUES ('1978', '1495') 
 INTO "PSE1"."Warenkorb" VALUES ('1979', '1105') 
 INTO "PSE1"."Warenkorb" VALUES ('1980', '808') 
 INTO "PSE1"."Warenkorb" VALUES ('1981', '813') 
 INTO "PSE1"."Warenkorb" VALUES ('1982', '1872') 
 INTO "PSE1"."Warenkorb" VALUES ('1983', '917') 
 INTO "PSE1"."Warenkorb" VALUES ('1984', '362') 
 INTO "PSE1"."Warenkorb" VALUES ('1985', '44') 
 INTO "PSE1"."Warenkorb" VALUES ('1986', '1424') 
 INTO "PSE1"."Warenkorb" VALUES ('1987', '1375') 
 INTO "PSE1"."Warenkorb" VALUES ('1988', '520') 
 INTO "PSE1"."Warenkorb" VALUES ('1989', '78') 
 INTO "PSE1"."Warenkorb" VALUES ('1990', '1052') 
 INTO "PSE1"."Warenkorb" VALUES ('1991', '978') 
 INTO "PSE1"."Warenkorb" VALUES ('1992', '1685') 
 INTO "PSE1"."Warenkorb" VALUES ('1993', '428') 
 INTO "PSE1"."Warenkorb" VALUES ('1994', '1701') 
 INTO "PSE1"."Warenkorb" VALUES ('1995', '1255') 
 INTO "PSE1"."Warenkorb" VALUES ('1996', '1963') 
 INTO "PSE1"."Warenkorb" VALUES ('1997', '624') 
 INTO "PSE1"."Warenkorb" VALUES ('1998', '160') 
 INTO "PSE1"."Warenkorb" VALUES ('1999', '1526') 
 INTO "PSE1"."Warenkorb" VALUES ('2000', '696') 
 INTO "PSE1"."Warenkorb" VALUES ('2001', '1622') 
 INTO "PSE1"."Warenkorb" VALUES ('2002', '1513') 
 INTO "PSE1"."Warenkorb" VALUES ('2003', '1051') 
 INTO "PSE1"."Warenkorb" VALUES ('2004', '1439') 
 INTO "PSE1"."Warenkorb" VALUES ('2005', '924') 
 INTO "PSE1"."Warenkorb" VALUES ('2006', '1903') 
 INTO "PSE1"."Warenkorb" VALUES ('2007', '331') 
 INTO "PSE1"."Warenkorb" VALUES ('2008', '528') 
 INTO "PSE1"."Warenkorb" VALUES ('2009', '1338') 
 INTO "PSE1"."Warenkorb" VALUES ('2010', '1295') 
 INTO "PSE1"."Warenkorb" VALUES ('2011', '407') 
 INTO "PSE1"."Warenkorb" VALUES ('2012', '1956') 
 INTO "PSE1"."Warenkorb" VALUES ('2013', '498') 
 INTO "PSE1"."Warenkorb" VALUES ('2014', '454') 
 INTO "PSE1"."Warenkorb" VALUES ('2015', '27') 
 INTO "PSE1"."Warenkorb" VALUES ('2016', '1223') 
 INTO "PSE1"."Warenkorb" VALUES ('2017', '1650') 
 INTO "PSE1"."Warenkorb" VALUES ('2018', '1004') 
 INTO "PSE1"."Warenkorb" VALUES ('2019', '988') 
 INTO "PSE1"."Warenkorb" VALUES ('2020', '668') 
 INTO "PSE1"."Warenkorb" VALUES ('2021', '508') 
 INTO "PSE1"."Warenkorb" VALUES ('2022', '768') 
 INTO "PSE1"."Warenkorb" VALUES ('2023', '1733') 
 INTO "PSE1"."Warenkorb" VALUES ('2024', '229') 
 INTO "PSE1"."Warenkorb" VALUES ('2025', '302') 
 INTO "PSE1"."Warenkorb" VALUES ('2026', '1643') 
 INTO "PSE1"."Warenkorb" VALUES ('2027', '1893') 
 INTO "PSE1"."Warenkorb" VALUES ('2028', '612') 
 INTO "PSE1"."Warenkorb" VALUES ('2029', '743') 
 INTO "PSE1"."Warenkorb" VALUES ('2030', '1576') 
 INTO "PSE1"."Warenkorb" VALUES ('2031', '880') 
 INTO "PSE1"."Warenkorb" VALUES ('2032', '1207') 
 INTO "PSE1"."Warenkorb" VALUES ('2033', '678') 
 INTO "PSE1"."Warenkorb" VALUES ('2034', '694') 
 INTO "PSE1"."Warenkorb" VALUES ('2035', '680') 
 INTO "PSE1"."Warenkorb" VALUES ('2036', '698') 
 INTO "PSE1"."Warenkorb" VALUES ('2037', '215') 
 INTO "PSE1"."Warenkorb" VALUES ('2038', '1889') 
 INTO "PSE1"."Warenkorb" VALUES ('2039', '1985') 
 INTO "PSE1"."Warenkorb" VALUES ('2040', '790') 
 INTO "PSE1"."Warenkorb" VALUES ('2041', '309') 
 INTO "PSE1"."Warenkorb" VALUES ('2042', '534') 
 INTO "PSE1"."Warenkorb" VALUES ('2043', '598') 
 INTO "PSE1"."Warenkorb" VALUES ('2044', '1689') 
 INTO "PSE1"."Warenkorb" VALUES ('2045', '290') 
 INTO "PSE1"."Warenkorb" VALUES ('2046', '1910') 
 INTO "PSE1"."Warenkorb" VALUES ('2047', '1865') 
 INTO "PSE1"."Warenkorb" VALUES ('2048', '1710') 
 INTO "PSE1"."Warenkorb" VALUES ('2049', '1412') 
 INTO "PSE1"."Warenkorb" VALUES ('2050', '861') 
 INTO "PSE1"."Warenkorb" VALUES ('2051', '1362') 
 INTO "PSE1"."Warenkorb" VALUES ('2052', '576') 
 INTO "PSE1"."Warenkorb" VALUES ('2053', '1376') 
 INTO "PSE1"."Warenkorb" VALUES ('2054', '661') 
 INTO "PSE1"."Warenkorb" VALUES ('2055', '1122') 
 INTO "PSE1"."Warenkorb" VALUES ('2056', '1703') 
 INTO "PSE1"."Warenkorb" VALUES ('2057', '1502') 
 INTO "PSE1"."Warenkorb" VALUES ('2058', '1290') 
 INTO "PSE1"."Warenkorb" VALUES ('2059', '756') 
 INTO "PSE1"."Warenkorb" VALUES ('2060', '765') 
 INTO "PSE1"."Warenkorb" VALUES ('2061', '1314') 
 INTO "PSE1"."Warenkorb" VALUES ('2062', '604') 
 INTO "PSE1"."Warenkorb" VALUES ('2063', '716') 
 INTO "PSE1"."Warenkorb" VALUES ('2064', '549') 
 INTO "PSE1"."Warenkorb" VALUES ('2065', '1049') 
 INTO "PSE1"."Warenkorb" VALUES ('2066', '189') 
 INTO "PSE1"."Warenkorb" VALUES ('2067', '1348') 
 INTO "PSE1"."Warenkorb" VALUES ('2068', '1617') 
 INTO "PSE1"."Warenkorb" VALUES ('2069', '1797') 
 INTO "PSE1"."Warenkorb" VALUES ('2070', '1546') 
 INTO "PSE1"."Warenkorb" VALUES ('2071', '908') 
 INTO "PSE1"."Warenkorb" VALUES ('2072', '1810') 
 INTO "PSE1"."Warenkorb" VALUES ('2073', '330') 
 INTO "PSE1"."Warenkorb" VALUES ('2074', '843') 
 INTO "PSE1"."Warenkorb" VALUES ('2075', '876') 
 INTO "PSE1"."Warenkorb" VALUES ('2076', '916') 
 INTO "PSE1"."Warenkorb" VALUES ('2077', '1645') 
 INTO "PSE1"."Warenkorb" VALUES ('2078', '1411') 
 INTO "PSE1"."Warenkorb" VALUES ('2079', '962') 
 INTO "PSE1"."Warenkorb" VALUES ('2080', '873') 
 INTO "PSE1"."Warenkorb" VALUES ('2081', '1608') 
 INTO "PSE1"."Warenkorb" VALUES ('2082', '390') 
 INTO "PSE1"."Warenkorb" VALUES ('2083', '199') 
 INTO "PSE1"."Warenkorb" VALUES ('2084', '459') 
 INTO "PSE1"."Warenkorb" VALUES ('2085', '1749') 
 INTO "PSE1"."Warenkorb" VALUES ('2086', '1685') 
 INTO "PSE1"."Warenkorb" VALUES ('2087', '1700') 
 INTO "PSE1"."Warenkorb" VALUES ('2088', '1360') 
 INTO "PSE1"."Warenkorb" VALUES ('2089', '1441') 
 INTO "PSE1"."Warenkorb" VALUES ('2090', '1589') 
 INTO "PSE1"."Warenkorb" VALUES ('2091', '76') 
 INTO "PSE1"."Warenkorb" VALUES ('2092', '1793') 
 INTO "PSE1"."Warenkorb" VALUES ('2093', '1077') 
 INTO "PSE1"."Warenkorb" VALUES ('2094', '533') 
 INTO "PSE1"."Warenkorb" VALUES ('2095', '1095') 
 INTO "PSE1"."Warenkorb" VALUES ('2096', '1355') 
 INTO "PSE1"."Warenkorb" VALUES ('2097', '992') 
 INTO "PSE1"."Warenkorb" VALUES ('2098', '100') 
 INTO "PSE1"."Warenkorb" VALUES ('2099', '1197') 
 INTO "PSE1"."Warenkorb" VALUES ('2100', '1794') 
 INTO "PSE1"."Warenkorb" VALUES ('2101', '1678') 
 INTO "PSE1"."Warenkorb" VALUES ('2102', '1808') 
 INTO "PSE1"."Warenkorb" VALUES ('2103', '1410') 
 INTO "PSE1"."Warenkorb" VALUES ('2104', '378') 
 INTO "PSE1"."Warenkorb" VALUES ('2105', '221') 
 INTO "PSE1"."Warenkorb" VALUES ('2106', '874') 
 INTO "PSE1"."Warenkorb" VALUES ('2107', '595') 
 INTO "PSE1"."Warenkorb" VALUES ('2108', '574') 
 INTO "PSE1"."Warenkorb" VALUES ('2109', '1677') 
 INTO "PSE1"."Warenkorb" VALUES ('2110', '839') 
 INTO "PSE1"."Warenkorb" VALUES ('2111', '610') 
 INTO "PSE1"."Warenkorb" VALUES ('2112', '386') 
 INTO "PSE1"."Warenkorb" VALUES ('2113', '107') 
 INTO "PSE1"."Warenkorb" VALUES ('2114', '45') 
 INTO "PSE1"."Warenkorb" VALUES ('2115', '1500') 
 INTO "PSE1"."Warenkorb" VALUES ('2116', '778') 
 INTO "PSE1"."Warenkorb" VALUES ('2117', '1958') 
 INTO "PSE1"."Warenkorb" VALUES ('2118', '29') 
 INTO "PSE1"."Warenkorb" VALUES ('2119', '997') 
 INTO "PSE1"."Warenkorb" VALUES ('2120', '713') 
 INTO "PSE1"."Warenkorb" VALUES ('2121', '18') 
 INTO "PSE1"."Warenkorb" VALUES ('2122', '585') 
 INTO "PSE1"."Warenkorb" VALUES ('2123', '835') 
 INTO "PSE1"."Warenkorb" VALUES ('2124', '304') 
 INTO "PSE1"."Warenkorb" VALUES ('2125', '724') 
 INTO "PSE1"."Warenkorb" VALUES ('2126', '29') 
 INTO "PSE1"."Warenkorb" VALUES ('2127', '117') 
 INTO "PSE1"."Warenkorb" VALUES ('2128', '306') 
 INTO "PSE1"."Warenkorb" VALUES ('2129', '919') 
 INTO "PSE1"."Warenkorb" VALUES ('2130', '532') 
 INTO "PSE1"."Warenkorb" VALUES ('2131', '910') 
 INTO "PSE1"."Warenkorb" VALUES ('2132', '21') 
 INTO "PSE1"."Warenkorb" VALUES ('2133', '309') 
 INTO "PSE1"."Warenkorb" VALUES ('2134', '972') 
 INTO "PSE1"."Warenkorb" VALUES ('2135', '1885') 
 INTO "PSE1"."Warenkorb" VALUES ('2136', '1072') 
 INTO "PSE1"."Warenkorb" VALUES ('2137', '1603') 
 INTO "PSE1"."Warenkorb" VALUES ('2138', '493') 
 INTO "PSE1"."Warenkorb" VALUES ('2139', '1470') 
 INTO "PSE1"."Warenkorb" VALUES ('2140', '1721') 
 INTO "PSE1"."Warenkorb" VALUES ('2141', '167') 
 INTO "PSE1"."Warenkorb" VALUES ('2142', '937') 
 INTO "PSE1"."Warenkorb" VALUES ('2143', '1705') 
 INTO "PSE1"."Warenkorb" VALUES ('2144', '836') 
 INTO "PSE1"."Warenkorb" VALUES ('2145', '769') 
 INTO "PSE1"."Warenkorb" VALUES ('2146', '774') 
 INTO "PSE1"."Warenkorb" VALUES ('2147', '865') 
 INTO "PSE1"."Warenkorb" VALUES ('2148', '1001') 
 INTO "PSE1"."Warenkorb" VALUES ('2149', '1628') 
 INTO "PSE1"."Warenkorb" VALUES ('2150', '143') 
 INTO "PSE1"."Warenkorb" VALUES ('2151', '420') 
 INTO "PSE1"."Warenkorb" VALUES ('2152', '62') 
 INTO "PSE1"."Warenkorb" VALUES ('2153', '1957') 
 INTO "PSE1"."Warenkorb" VALUES ('2154', '753') 
 INTO "PSE1"."Warenkorb" VALUES ('2155', '456') 
 INTO "PSE1"."Warenkorb" VALUES ('2156', '1234') 
 INTO "PSE1"."Warenkorb" VALUES ('2157', '998') 
 INTO "PSE1"."Warenkorb" VALUES ('2158', '1942') 
 INTO "PSE1"."Warenkorb" VALUES ('2159', '1421') 
 INTO "PSE1"."Warenkorb" VALUES ('2160', '439') 
 INTO "PSE1"."Warenkorb" VALUES ('2161', '1327') 
 INTO "PSE1"."Warenkorb" VALUES ('2162', '1402') 
 INTO "PSE1"."Warenkorb" VALUES ('2163', '1301') 
 INTO "PSE1"."Warenkorb" VALUES ('2164', '1191') 
 INTO "PSE1"."Warenkorb" VALUES ('2165', '1946') 
 INTO "PSE1"."Warenkorb" VALUES ('2166', '159') 
 INTO "PSE1"."Warenkorb" VALUES ('2167', '1537') 
 INTO "PSE1"."Warenkorb" VALUES ('2168', '912') 
 INTO "PSE1"."Warenkorb" VALUES ('2169', '1570') 
 INTO "PSE1"."Warenkorb" VALUES ('2170', '1885') 
 INTO "PSE1"."Warenkorb" VALUES ('2171', '382') 
 INTO "PSE1"."Warenkorb" VALUES ('2172', '1889') 
 INTO "PSE1"."Warenkorb" VALUES ('2173', '1084') 
 INTO "PSE1"."Warenkorb" VALUES ('2174', '156') 
 INTO "PSE1"."Warenkorb" VALUES ('2175', '147') 
 INTO "PSE1"."Warenkorb" VALUES ('2176', '272') 
 INTO "PSE1"."Warenkorb" VALUES ('2177', '545') 
 INTO "PSE1"."Warenkorb" VALUES ('2178', '501') 
 INTO "PSE1"."Warenkorb" VALUES ('2179', '1660') 
 INTO "PSE1"."Warenkorb" VALUES ('2180', '909') 
 INTO "PSE1"."Warenkorb" VALUES ('2181', '1948') 
 INTO "PSE1"."Warenkorb" VALUES ('2182', '466') 
 INTO "PSE1"."Warenkorb" VALUES ('2183', '197') 
 INTO "PSE1"."Warenkorb" VALUES ('2184', '1202') 
 INTO "PSE1"."Warenkorb" VALUES ('2185', '981') 
 INTO "PSE1"."Warenkorb" VALUES ('2186', '646') 
 INTO "PSE1"."Warenkorb" VALUES ('2187', '340') 
 INTO "PSE1"."Warenkorb" VALUES ('2188', '1834') 
 INTO "PSE1"."Warenkorb" VALUES ('2189', '1247') 
 INTO "PSE1"."Warenkorb" VALUES ('2190', '1685') 
 INTO "PSE1"."Warenkorb" VALUES ('2191', '1015') 
 INTO "PSE1"."Warenkorb" VALUES ('2192', '20') 
 INTO "PSE1"."Warenkorb" VALUES ('2193', '597') 
 INTO "PSE1"."Warenkorb" VALUES ('2194', '1376') 
 INTO "PSE1"."Warenkorb" VALUES ('2195', '584') 
 INTO "PSE1"."Warenkorb" VALUES ('2196', '1151') 
 INTO "PSE1"."Warenkorb" VALUES ('2197', '1215') 
 INTO "PSE1"."Warenkorb" VALUES ('2198', '286') 
 INTO "PSE1"."Warenkorb" VALUES ('2199', '37') 
 INTO "PSE1"."Warenkorb" VALUES ('2200', '1542') 
 INTO "PSE1"."Warenkorb" VALUES ('2201', '922') 
 INTO "PSE1"."Warenkorb" VALUES ('2202', '1486') 
 INTO "PSE1"."Warenkorb" VALUES ('2203', '1618') 
 INTO "PSE1"."Warenkorb" VALUES ('2204', '1209') 
 INTO "PSE1"."Warenkorb" VALUES ('2205', '507') 
 INTO "PSE1"."Warenkorb" VALUES ('2206', '1682') 
 INTO "PSE1"."Warenkorb" VALUES ('2207', '1696') 
 INTO "PSE1"."Warenkorb" VALUES ('2208', '1583') 
 INTO "PSE1"."Warenkorb" VALUES ('2209', '90') 
 INTO "PSE1"."Warenkorb" VALUES ('2210', '597') 
 INTO "PSE1"."Warenkorb" VALUES ('2211', '652') 
 INTO "PSE1"."Warenkorb" VALUES ('2212', '1420') 
 INTO "PSE1"."Warenkorb" VALUES ('2213', '682') 
 INTO "PSE1"."Warenkorb" VALUES ('2214', '1891') 
 INTO "PSE1"."Warenkorb" VALUES ('2215', '369') 
 INTO "PSE1"."Warenkorb" VALUES ('2216', '476') 
 INTO "PSE1"."Warenkorb" VALUES ('2217', '1535') 
 INTO "PSE1"."Warenkorb" VALUES ('2218', '399') 
 INTO "PSE1"."Warenkorb" VALUES ('2219', '1548') 
 INTO "PSE1"."Warenkorb" VALUES ('2220', '901') 
 INTO "PSE1"."Warenkorb" VALUES ('2221', '1370') 
 INTO "PSE1"."Warenkorb" VALUES ('2222', '155') 
 INTO "PSE1"."Warenkorb" VALUES ('2223', '239') 
 INTO "PSE1"."Warenkorb" VALUES ('2224', '1118') 
 INTO "PSE1"."Warenkorb" VALUES ('2225', '1236') 
 INTO "PSE1"."Warenkorb" VALUES ('2226', '1829') 
 INTO "PSE1"."Warenkorb" VALUES ('2227', '739') 
 INTO "PSE1"."Warenkorb" VALUES ('2228', '1049') 
 INTO "PSE1"."Warenkorb" VALUES ('2229', '830') 
 INTO "PSE1"."Warenkorb" VALUES ('2230', '1463') 
 INTO "PSE1"."Warenkorb" VALUES ('2231', '1704') 
 INTO "PSE1"."Warenkorb" VALUES ('2232', '1956') 
 INTO "PSE1"."Warenkorb" VALUES ('2233', '1567') 
 INTO "PSE1"."Warenkorb" VALUES ('2234', '1813') 
 INTO "PSE1"."Warenkorb" VALUES ('2235', '354') 
 INTO "PSE1"."Warenkorb" VALUES ('2236', '1815') 
 INTO "PSE1"."Warenkorb" VALUES ('2237', '1654') 
 INTO "PSE1"."Warenkorb" VALUES ('2238', '1952') 
 INTO "PSE1"."Warenkorb" VALUES ('2239', '284') 
 INTO "PSE1"."Warenkorb" VALUES ('2240', '1651') 
 INTO "PSE1"."Warenkorb" VALUES ('2241', '139') 
 INTO "PSE1"."Warenkorb" VALUES ('2242', '1561') 
 INTO "PSE1"."Warenkorb" VALUES ('2243', '559') 
 INTO "PSE1"."Warenkorb" VALUES ('2244', '1022') 
 INTO "PSE1"."Warenkorb" VALUES ('2245', '1323') 
 INTO "PSE1"."Warenkorb" VALUES ('2246', '1168') 
 INTO "PSE1"."Warenkorb" VALUES ('2247', '879') 
 INTO "PSE1"."Warenkorb" VALUES ('2248', '1517') 
 INTO "PSE1"."Warenkorb" VALUES ('2249', '895') 
 INTO "PSE1"."Warenkorb" VALUES ('2250', '730') 
 INTO "PSE1"."Warenkorb" VALUES ('2251', '1763') 
 INTO "PSE1"."Warenkorb" VALUES ('2252', '622') 
 INTO "PSE1"."Warenkorb" VALUES ('2253', '821') 
 INTO "PSE1"."Warenkorb" VALUES ('2254', '331') 
 INTO "PSE1"."Warenkorb" VALUES ('2255', '1557') 
 INTO "PSE1"."Warenkorb" VALUES ('2256', '780') 
 INTO "PSE1"."Warenkorb" VALUES ('2257', '1858') 
 INTO "PSE1"."Warenkorb" VALUES ('2258', '1520') 
 INTO "PSE1"."Warenkorb" VALUES ('2259', '1343') 
 INTO "PSE1"."Warenkorb" VALUES ('2260', '1331') 
 INTO "PSE1"."Warenkorb" VALUES ('2261', '1987') 
 INTO "PSE1"."Warenkorb" VALUES ('2262', '1134') 
 INTO "PSE1"."Warenkorb" VALUES ('2263', '269') 
 INTO "PSE1"."Warenkorb" VALUES ('2264', '333') 
 INTO "PSE1"."Warenkorb" VALUES ('2265', '143') 
 INTO "PSE1"."Warenkorb" VALUES ('2266', '1975') 
 INTO "PSE1"."Warenkorb" VALUES ('2267', '1993') 
 INTO "PSE1"."Warenkorb" VALUES ('2268', '645') 
 INTO "PSE1"."Warenkorb" VALUES ('2269', '860') 
 INTO "PSE1"."Warenkorb" VALUES ('2270', '476') 
 INTO "PSE1"."Warenkorb" VALUES ('2271', '530') 
 INTO "PSE1"."Warenkorb" VALUES ('2272', '1450') 
 INTO "PSE1"."Warenkorb" VALUES ('2273', '1312') 
 INTO "PSE1"."Warenkorb" VALUES ('2274', '1215') 
 INTO "PSE1"."Warenkorb" VALUES ('2275', '634') 
 INTO "PSE1"."Warenkorb" VALUES ('2276', '831') 
 INTO "PSE1"."Warenkorb" VALUES ('2277', '1720') 
 INTO "PSE1"."Warenkorb" VALUES ('2278', '585') 
 INTO "PSE1"."Warenkorb" VALUES ('2279', '257') 
 INTO "PSE1"."Warenkorb" VALUES ('2280', '1066') 
 INTO "PSE1"."Warenkorb" VALUES ('2281', '670') 
 INTO "PSE1"."Warenkorb" VALUES ('2282', '1725') 
 INTO "PSE1"."Warenkorb" VALUES ('2283', '1741') 
 INTO "PSE1"."Warenkorb" VALUES ('2284', '15') 
 INTO "PSE1"."Warenkorb" VALUES ('2285', '632') 
 INTO "PSE1"."Warenkorb" VALUES ('2286', '863') 
 INTO "PSE1"."Warenkorb" VALUES ('2287', '694') 
 INTO "PSE1"."Warenkorb" VALUES ('2288', '1890') 
 INTO "PSE1"."Warenkorb" VALUES ('2289', '67') 
 INTO "PSE1"."Warenkorb" VALUES ('2290', '1242') 
 INTO "PSE1"."Warenkorb" VALUES ('2291', '445') 
 INTO "PSE1"."Warenkorb" VALUES ('2292', '790') 
 INTO "PSE1"."Warenkorb" VALUES ('2293', '377') 
 INTO "PSE1"."Warenkorb" VALUES ('2294', '1783') 
 INTO "PSE1"."Warenkorb" VALUES ('2295', '1608') 
 INTO "PSE1"."Warenkorb" VALUES ('2296', '1365') 
 INTO "PSE1"."Warenkorb" VALUES ('2297', '920') 
 INTO "PSE1"."Warenkorb" VALUES ('2298', '1798') 
 INTO "PSE1"."Warenkorb" VALUES ('2299', '896') 
 INTO "PSE1"."Warenkorb" VALUES ('2300', '1610') 
 INTO "PSE1"."Warenkorb" VALUES ('2301', '568') 
 INTO "PSE1"."Warenkorb" VALUES ('2302', '370') 
 INTO "PSE1"."Warenkorb" VALUES ('2303', '1872') 
 INTO "PSE1"."Warenkorb" VALUES ('2304', '864') 
 INTO "PSE1"."Warenkorb" VALUES ('2305', '838') 
 INTO "PSE1"."Warenkorb" VALUES ('2306', '900') 
 INTO "PSE1"."Warenkorb" VALUES ('2307', '1440') 
 INTO "PSE1"."Warenkorb" VALUES ('2308', '1944') 
 INTO "PSE1"."Warenkorb" VALUES ('2309', '1002') 
 INTO "PSE1"."Warenkorb" VALUES ('2310', '1525') 
 INTO "PSE1"."Warenkorb" VALUES ('2311', '1180') 
 INTO "PSE1"."Warenkorb" VALUES ('2312', '154') 
 INTO "PSE1"."Warenkorb" VALUES ('2313', '1495') 
 INTO "PSE1"."Warenkorb" VALUES ('2314', '572') 
 INTO "PSE1"."Warenkorb" VALUES ('2315', '1156') 
 INTO "PSE1"."Warenkorb" VALUES ('2316', '1311') 
 INTO "PSE1"."Warenkorb" VALUES ('2317', '855') 
 INTO "PSE1"."Warenkorb" VALUES ('2318', '648') 
 INTO "PSE1"."Warenkorb" VALUES ('2319', '1082') 
 INTO "PSE1"."Warenkorb" VALUES ('2320', '1438') 
 INTO "PSE1"."Warenkorb" VALUES ('2321', '1787') 
 INTO "PSE1"."Warenkorb" VALUES ('2322', '15') 
 INTO "PSE1"."Warenkorb" VALUES ('2323', '1606') 
 INTO "PSE1"."Warenkorb" VALUES ('2324', '225') 
 INTO "PSE1"."Warenkorb" VALUES ('2325', '1429') 
 INTO "PSE1"."Warenkorb" VALUES ('2326', '1023') 
 INTO "PSE1"."Warenkorb" VALUES ('2327', '604') 
 INTO "PSE1"."Warenkorb" VALUES ('2328', '368') 
 INTO "PSE1"."Warenkorb" VALUES ('2329', '801') 
 INTO "PSE1"."Warenkorb" VALUES ('2330', '557') 
 INTO "PSE1"."Warenkorb" VALUES ('2331', '996') 
 INTO "PSE1"."Warenkorb" VALUES ('2332', '1515') 
 INTO "PSE1"."Warenkorb" VALUES ('2333', '1460') 
 INTO "PSE1"."Warenkorb" VALUES ('2334', '1355') 
 INTO "PSE1"."Warenkorb" VALUES ('2335', '1220') 
 INTO "PSE1"."Warenkorb" VALUES ('2336', '434') 
 INTO "PSE1"."Warenkorb" VALUES ('2337', '739') 
 INTO "PSE1"."Warenkorb" VALUES ('2338', '1222') 
 INTO "PSE1"."Warenkorb" VALUES ('2339', '1297') 
 INTO "PSE1"."Warenkorb" VALUES ('2340', '1499') 
 INTO "PSE1"."Warenkorb" VALUES ('2341', '1151') 
 INTO "PSE1"."Warenkorb" VALUES ('2342', '1297') 
 INTO "PSE1"."Warenkorb" VALUES ('2343', '1580') 
 INTO "PSE1"."Warenkorb" VALUES ('2344', '530') 
 INTO "PSE1"."Warenkorb" VALUES ('2345', '1053') 
 INTO "PSE1"."Warenkorb" VALUES ('2346', '164') 
 INTO "PSE1"."Warenkorb" VALUES ('2347', '1079') 
 INTO "PSE1"."Warenkorb" VALUES ('2348', '578') 
 INTO "PSE1"."Warenkorb" VALUES ('2349', '385') 
 INTO "PSE1"."Warenkorb" VALUES ('2350', '219') 
 INTO "PSE1"."Warenkorb" VALUES ('2351', '1490') 
 INTO "PSE1"."Warenkorb" VALUES ('2352', '1130') 
 INTO "PSE1"."Warenkorb" VALUES ('2353', '384') 
 INTO "PSE1"."Warenkorb" VALUES ('2354', '92') 
 INTO "PSE1"."Warenkorb" VALUES ('2355', '875') 
 INTO "PSE1"."Warenkorb" VALUES ('2356', '328') 
 INTO "PSE1"."Warenkorb" VALUES ('2357', '763') 
 INTO "PSE1"."Warenkorb" VALUES ('2358', '1782') 
 INTO "PSE1"."Warenkorb" VALUES ('2359', '903') 
 INTO "PSE1"."Warenkorb" VALUES ('2360', '1746') 
 INTO "PSE1"."Warenkorb" VALUES ('2361', '1773') 
 INTO "PSE1"."Warenkorb" VALUES ('2362', '1196') 
 INTO "PSE1"."Warenkorb" VALUES ('2363', '1553') 
 INTO "PSE1"."Warenkorb" VALUES ('2364', '1692') 
 INTO "PSE1"."Warenkorb" VALUES ('2365', '61') 
 INTO "PSE1"."Warenkorb" VALUES ('2366', '1835') 
 INTO "PSE1"."Warenkorb" VALUES ('2367', '1142') 
 INTO "PSE1"."Warenkorb" VALUES ('2368', '1807') 
 INTO "PSE1"."Warenkorb" VALUES ('2369', '433') 
 INTO "PSE1"."Warenkorb" VALUES ('2370', '1696') 
 INTO "PSE1"."Warenkorb" VALUES ('2371', '1262') 
 INTO "PSE1"."Warenkorb" VALUES ('2372', '770') 
 INTO "PSE1"."Warenkorb" VALUES ('2373', '930') 
 INTO "PSE1"."Warenkorb" VALUES ('2374', '865') 
 INTO "PSE1"."Warenkorb" VALUES ('2375', '1382') 
 INTO "PSE1"."Warenkorb" VALUES ('2376', '1908') 
 INTO "PSE1"."Warenkorb" VALUES ('2377', '999') 
 INTO "PSE1"."Warenkorb" VALUES ('2378', '1527') 
 INTO "PSE1"."Warenkorb" VALUES ('2379', '1647') 
 INTO "PSE1"."Warenkorb" VALUES ('2380', '1221') 
 INTO "PSE1"."Warenkorb" VALUES ('2381', '960') 
 INTO "PSE1"."Warenkorb" VALUES ('2382', '996') 
 INTO "PSE1"."Warenkorb" VALUES ('2383', '1595') 
 INTO "PSE1"."Warenkorb" VALUES ('2384', '1688') 
 INTO "PSE1"."Warenkorb" VALUES ('2385', '929') 
 INTO "PSE1"."Warenkorb" VALUES ('2386', '1266') 
 INTO "PSE1"."Warenkorb" VALUES ('2387', '1900') 
 INTO "PSE1"."Warenkorb" VALUES ('2388', '507') 
 INTO "PSE1"."Warenkorb" VALUES ('2389', '577') 
 INTO "PSE1"."Warenkorb" VALUES ('2390', '61') 
 INTO "PSE1"."Warenkorb" VALUES ('2391', '1324') 
 INTO "PSE1"."Warenkorb" VALUES ('2392', '374') 
 INTO "PSE1"."Warenkorb" VALUES ('2393', '428') 
 INTO "PSE1"."Warenkorb" VALUES ('2394', '1840') 
 INTO "PSE1"."Warenkorb" VALUES ('2395', '1278') 
 INTO "PSE1"."Warenkorb" VALUES ('2396', '1599') 
 INTO "PSE1"."Warenkorb" VALUES ('2397', '720') 
 INTO "PSE1"."Warenkorb" VALUES ('2398', '1763') 
 INTO "PSE1"."Warenkorb" VALUES ('2399', '1256') 
 INTO "PSE1"."Warenkorb" VALUES ('2400', '851') 
 INTO "PSE1"."Warenkorb" VALUES ('2401', '1069') 
 INTO "PSE1"."Warenkorb" VALUES ('2402', '101') 
 INTO "PSE1"."Warenkorb" VALUES ('2403', '912') 
 INTO "PSE1"."Warenkorb" VALUES ('2404', '1069') 
